Subj,BIS.Score,BAS.Drive.Score,BAS.Fun.Seeking.Score,BAS.Reward.Responsiveness.Score,BART,Age,Gender
1,21,13,10,18,"39,6",19,F
2,21,7,12,18,"18,05882353",19,M
3,25,11,12,20,"29,4",20,M
4,28,8,13,17,"28,8",18,F
5,22,8,9,18,"2,578947368",24,F
6,28,10,11,17,"6,61111111",21,F
7,27,13,13,20,"15,7058824",22,F
8,19,9,10,12,"10,75",23,F
9,22,9,12,17,"12,2941176",20,F
10,15,9,11,18,"6,26315789",21,M
11,20,9,11,19,"37,6923077",21,M
12,24,9,7,16,"13,29411765",26,F
13,12,12,12,16,"13,7058824",18,F
14,23,12,14,20,"44,5",20,F
15,20,8,14,18,"42,25",23,F
16,25,12,12,19,"15,3529412",19,F
17,20,7,8,19,"10,7058824",29,M
18,22,12,10,19,"28,3571429",20,F
19,22,12,12,19,"11,2941176",21,F
20,16,9,11,17,35,21,F
21,19,13,13,20,"19,6470588",20,
22,24,14,14,20,"10,1764706",21,F
23,25,9,12,19,"36,0666667",18,F
24,20,12,14,18,"26,73333333",23,M
25,19,8,10,16,"28,25",33,M
26,27,8,13,20,"12,7058824",20,
27,19,11,13,19,"36,9285714",20,F
28,25,9,10,17,"27,875",19,F
29,25,11,12,20,32,19,M
30,23,7,9,19,"10,3888889",22,F
31,27,7,12,16,"39,7692308",22,F
32,22,10,14,17,"4,31578947",24,F
33,26,5,13,16,"8,41176471",25,F
34,20,7,12,18,16,23,M
35,23,10,12,16,"29,3125",21,F
36,21,10,15,18,"11,3888889",25,M
37,24,8,12,13,"18,1764706",28,F
38,20,9,12,19,"17,8823529",27,M
39,19,8,11,16,"13,5294118",23,M
40,23,9,9,17,"14,375",20,F
41,26,11,13,19,24,20,F
42,18,8,8,16,"18,2941176",28,F
43,19,12,11,16,"45,4",25,M
44,16,10,14,12,"2,89473684",22,M
45,23,10,14,20,"35,8",22,M
46,27,12,12,19,"44,2",44,F
47,23,10,14,19,"36,9230769",32,F
48,20,16,15,20,"9,05263158",22,F
49,25,6,10,17,"33,6875",25,
50,24,8,12,17,"11,8666667",45,F
51,21,14,10,19,"14,9444444",20,F
52,23,14,9,20,"25,1538462",18,M
53,21,16,13,19,"10,1764706",20,F
54,22,7,12,17,"37,4615385",19,M
55,28,8,11,16,"13,1764706",20,F
